Year, GDP Per Capita (US $)
1960,2259.2943
1961,2240.433
1962,2268.5853
1963,2374.4984
1964,2555.1111
1965,2770.3618
1966,3047.1061
1967,3217.1593
1968,3462.6789
1969,3763.9534
1970,4121.9328
1971,4520.1629
1972,5089.5879
1973,5838.6609
1974,7033.011
1975,7511.2113
1976,8809.2647
1977,8919.0575
1978,9123.6913
1979,10043.661
1980,11170.564
1981,12337.4662
1982,12481.8748
1983,13425.1225
1984,13877.9171
1985,14114.8078
1986,14461.0692
1987,16308.967
1988,18936.9641
1989,20715.6315
1990,21448.362
1991,21768.3433
1992,20879.8483
1993,20121.1613
1994,19935.3815
1995,20613.7879
1996,21227.3475
1997,21829.2334
1998,20952.0695
1999,22238.6645
2000,24190.2496
2001,23738.1807
2002,24169.2847
2003,28200.6581
2004,32034.3077
2005,36266.1871
2006,40385.87
2007,44543.041
2008,46594.451
2009,40773.0615
2010,47448.0132
2011,52087.4464
2012,52678.3901
2013,52652.5937
2014,50893.4467
2015,43585.512
2016,42322.4848
2017,45148.5527
2018,46313.1714
2019,46194.7252
